qid,P31,Lpt-br,Dpt-br,P571,P17,P1259,P170,P186,P195,P217,P2079,P4036,P2049,P2048,P7835
,,Praça XV de Novembro,Fotografia de Marc Ferrez,,Q155,-22.902715/-43.173849,Q3180571,Q11469,Q71989864,0071824cx011-05,Q172984,52.8 degree,24.0 centimetre,18.0 centimetre,66470
,,Largo da Carioca (Antigo),Fotografia de Marc Ferrez,,Q155,-22.906281/-43.178822,Q3180571,Q11469,Q71989864,0071824cx011-06,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,66471
,,Ministério da Agricultura,Fotografia de Marc Ferrez,,Q155,-22.903452/-43.17382,Q3180571,Q11469,Q71989864,0071824cx015a-01,COLÓDIO/ Prata,59.4 degree,24.0 centimetre,18.0 centimetre,66472
,,Cascatinha da Tijuca,Fotografia de Marc Ferrez,,Q155,-22.958991/-43.277487,Q3180571,Q11469,Q71989864,0071824cx015a-02,Q172984,50.0 degree,18.0 centimetre,24.0 centimetre,66473
,,Pedra de Itapuca,Fotografia de Marc Ferrez,1876-01-01,Q155,-22.905374/-43.119416,Q3180571,Q11469,Q71989864,0071824cx015a-10,Q172984,42.2 degree,24.0 centimetre,18.0 centimetre,66476
,,Barco a Vela,Fotografia de Marc Ferrez,,Q155,-22.842727/-43.223344,Q3180571,Q11469,Q71989864,0071824cx016-04,Q172984,29.8 degree,24.0 centimetre,18.0 centimetre,66517
,,Hotel White - Floresta da Tijuca,Fotografia de Marc Ferrez,,Q155,-22.96121/-43.271968,Q3180571,Q11469,Q71989864,0071824cx016-07,Q172984,60.0 degree,24.0 centimetre,18.0 centimetre,66518
,,Hotel Villa Moreau,Fotografia de Marc Ferrez,,Q155,-22.945149/-43.25277,Q3180571,Q11469,Q71989864,0071824cx016-08,Q172984,40.0 degree,24.0 centimetre,18.0 centimetre,66519
,,Vista da Pedra da Gávea,Fotografia de Marc Ferrez,,Q155,-23.009618/-43.296243,Q3180571,Q11469,Q71989864,0071824cx016-10,Q172984,47.2 degree,18.0 centimetre,24.0 centimetre,66521
,,Jardim Botânico,Fotografia de Marc Ferrez,,Q155,-22.961073000000006/-43.27322,Q3180571,Q11469,Q71989864,0071824cx016-11,Q172984,55.0 degree,24.0 centimetre,18.0 centimetre,66522
,,Vista da Pedra da Gávea,Fotografia de Marc Ferrez,,Q155,-22.972124/-43.273185,Q3180571,Q11469,Q71989864,0071824cx016-12,Q172984,32.0 degree,18.0 centimetre,24.0 centimetre,66523
,,"Panorama do Rio de Janeiro, visto do alto do Corcovado",Fotografia de Marc Ferrez,,Q155,-22.951847/-43.209967,Q3180571,Q11469,Q71989864,0071824cx017a-02,Q172984,63.8 degree,24.0 centimetre,18.0 centimetre,66478
,,"Flamengo, tendo em vista o Largo do Machado, Igreja Nossa Senhora da Glória e ao fundo o Pão de Açúcar",Fotografia de Marc Ferrez,,Q155,-22.928726/-43.18385900000001,Q3180571,Q11469,Q71989864,0071824cx017a-04,Q172984,58.2 degree,24.0 centimetre,18.0 centimetre,66479
,,"Panorama do Rio de Janeiro, visto do alto do Corcovado",Fotografia de Marc Ferrez,,Q155,-22.951847/-43.209967,Q3180571,Q11469,Q71989864,0071824cx017a-05,Q172984,63.8 degree,24.0 centimetre,18.0 centimetre,66480
,,Floresta da Tijuca,Fotografia de Marc Ferrez,,Q155,-22.956822/-43.29173400000001,Q3180571,Q11469,Q71989864,0071824cx017a-06,Q172984,65.0 degree,24.0 centimetre,18.0 centimetre,66481
,,Floresta da Tijuca e Pedra da Gávea ao fundo,Fotografia de Marc Ferrez,,Q155,-22.986872/-43.243701,Q3180571,Q11469,Q71989864,0071824cx017a-07,COLÓDIO/ Prata,63.6 degree,24.0 centimetre,18.0 centimetre,66482
,,Gaúcho,Fotografia de Marc Ferrez,,Q155,-22.912605/-43.230018,Q3180571,Q11469,Q71989864,0071824cx017a-08,Q172984,40.0 degree,24.0 centimetre,18.0 centimetre,66483
,,Vista da Pedra da Gávea,Fotografia de Marc Ferrez,,Q155,-22.933105/-43.17989,Q3180571,Q11469,Q71989864,0071824cx017a-09,Q172984,55.6 degree,24.0 centimetre,18.0 centimetre,66484
,,Gávea,Fotografia de Marc Ferrez,,Q155,-23.006908/-43.303031,Q3180571,Q11469,Q71989864,0071824cx017a-10,Q172984,60.0 degree,24.0 centimetre,18.0 centimetre,66485
,,Pedra da Gávea,Fotografia de Marc Ferrez,,Q155,-23.009073/-43.30165,Q3180571,Q11469,Q71989864,0071824cx017a-11,Q172984,53.8 degree,24.0 centimetre,18.0 centimetre,66486
,,Rua Primeiro de Março,Fotografia de Marc Ferrez,,Q155,-22.902766/-43.175759,Q3180571,Q11469,Q71989864,0071824cx019-01,Q172984,52.4 degree,18.0 centimetre,24.0 centimetre,66492
,,Igreja da Ordem Terceira do Carmo,Fotografia de Marc Ferrez,,Q155,-22.902548/-43.175668,Q3180571,Q11469,Q71989864,0071824cx019-02,COLÓDIO/ Prata,46.6 degree,18.0 centimetre,24.0 centimetre,18265
,,Igreja de Santa Cruz dos Militares,Fotografia de Marc Ferrez,,Q155,-22.901829/-43.176341,Q3180571,Q11469,Q71989864,0071824cx019-03,Q172984,49.2 degree,24.0 centimetre,18.0 centimetre,66493
,,Largo do Paço,Fotografia de Marc Ferrez,,Q155,-22.902804/-43.173454,Q3180571,Q11469,Q71989864,0071824cx019-04,COLÓDIO/ Prata,50.0 degree,24.0 centimetre,18.0 centimetre,66494
,,Rua do Ouvidor,Fotografia de Marc Ferrez,,Q155,-22.903751/-43.178321,Q3180571,Q11469,Q71989864,0071824cx019-05,Q172984,43.2 degree,18.0 centimetre,24.0 centimetre,66495
,,Rua do Ouvidor,Fotografia de Marc Ferrez,,Q155,-22.903742/-43.178308,Q3180571,Q11469,Q71989864,0071824cx019-06,Q172984,43.0 degree,18.0 centimetre,24.0 centimetre,66496
,,Rua do Ouvidor,Fotografia de Marc Ferrez,,Q155,-22.903751/-43.178323,Q3180571,Q11469,Q71989864,0071824cx019-07,Q172984,43.0 degree,18.0 centimetre,24.0 centimetre,66497
,,Igreja de Santa Cruz dos Militares,Fotografia de Marc Ferrez,,Q155,-22.901918/-43.17624,Q3180571,Q11469,Q71989864,0071824cx019-08,Q172984,46.4 degree,24.0 centimetre,18.0 centimetre,19211
,,Prédio dos Correios - Rua Primeiro de Março,Fotografia de Marc Ferrez,,Q155,-22.901407/-43.176536,Q3180571,Q11469,Q71989864,0071824cx019-10,Q172984,39.2 degree,24.0 centimetre,18.0 centimetre,66540
,,Rua Primeiro de Março,Fotografia de Marc Ferrez,,Q155,-22.902766/-43.175759,Q3180571,Q11469,Q71989864,0071824cx019-11,Q172984,52.4 degree,,,66498
,,Docas e Mercado da Praia do Peixe,Fotografia de Marc Ferrez,,Q155,-22.901703/-43.17296500000001,Q3180571,Q11469,Q71989864,0071824cx019-12,Q172984,50.2 degree,24.0 centimetre,18.0 centimetre,66499
,,Ilha das Cobras vista do Morro do Castelo,Fotografia de Marc Ferrez,,Q155,-22.906366/-43.174655,Q3180571,Q11469,Q71989864,0071824cx019-13,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,66500
,,Campo da Aclamação,Fotografia de Marc Ferrez,,Q155,-22.905381/-43.190231,Q3180571,Q11469,Q71989864,0071824cx020-01,COLÓDIO/ Prata,62.8 degree,24.0 centimetre,18.0 centimetre,66524
,,Campo da Aclamação,Fotografia de Marc Ferrez,,Q155,-22.907556/-43.188977,Q3180571,Q11469,Q71989864,0071824cx020-02,COLÓDIO/ Prata,50.0 degree,24.0 centimetre,18.0 centimetre,66545
,,Campo da Aclamação,Fotografia de Marc Ferrez,,Q155,-22.904971/-43.189469,Q3180571,Q11469,Q71989864,0071824cx020-03,COLÓDIO/ Prata,48.6 degree,24.0 centimetre,18.0 centimetre,66525
,,Campo da Aclamação,Fotografia de Marc Ferrez,,Q155,-22.904934/-43.189735,Q3180571,Q11469,Q71989864,0071824cx020-04,COLÓDIO/ Prata,47.6 degree,24.0 centimetre,18.0 centimetre,66546
,,Campo da Aclamação,Fotografia de Marc Ferrez,,Q155,-22.905403/-43.189211,Q3180571,Q11469,Q71989864,0071824cx020-08,COLÓDIO/ Prata,58.4 degree,24.0 centimetre,18.0 centimetre,66529
,,Campo da Aclamação,Fotografia de Marc Ferrez,,Q155,-22.908746/-43.187402,Q3180571,Q11469,Q71989864,0071824cx020-09,COLÓDIO/ Prata,62.6 degree,24.0 centimetre,18.0 centimetre,66530
,,Campo da Aclamação,Fotografia de Marc Ferrez,,Q155,-22.907162/-43.189161,Q3180571,Q11469,Q71989864,0071824cx020-11,COLÓDIO/ Prata,50.0 degree,24.0 centimetre,18.0 centimetre,66531
,,Campo da Aclamação,Fotografia de Marc Ferrez,,Q155,-22.907587/-43.188973,Q3180571,Q11469,Q71989864,0071824cx020-12,COLÓDIO/ Prata,58.0 degree,24.0 centimetre,18.0 centimetre,66532
,,Largo de São Francisco,Fotografia de Marc Ferrez,,Q155,-22.904857/-43.180479,Q3180571,Q11469,Q71989864,0071824cx021-01,Q172984,60.8 degree,24.0 centimetre,18.0 centimetre,66501
,,Cais da Glória,Fotografia de Marc Ferrez,,Q155,-22.917231/-43.176906,Q3180571,Q11469,Q71989864,0071824cx021-02,Q172984,57.6 degree,24.0 centimetre,18.0 centimetre,66502
,,Largo da Carioca,Fotografia de Marc Ferrez,,Q155,-22.906245/-43.178826,Q3180571,Q11469,Q71989864,0071824cx021-03,Q172984,47.0 degree,24.0 centimetre,18.0 centimetre,66503
,,Vista da Praia de Santa Luzia,Fotografia de Marc Ferrez,,Q155,-22.905875/-43.167735,Q3180571,Q11469,Q71989864,0071824cx021-04,Q172984,46.4 degree,24.0 centimetre,18.0 centimetre,66504
,,A Glória tirada da Rua da Lapa,Fotografia de Marc Ferrez,,Q155,-22.9087/-43.174931,Q3180571,Q11469,Q71989864,0071824cx021-05,Q172984,38.0 degree,24.0 centimetre,18.0 centimetre,66505
,,"Vista do Outeiro da Glória e Morro Nova Cintra, com o Corcovado ao fundo",Fotografia de Marc Ferrez,,Q155,-22.915962/-43.1667,Q3180571,Q11469,Q71989864,0071824cx021-06,Q172984,47.6 degree,24.0 centimetre,18.0 centimetre,66506
,,Passeio Público,Fotografia de Marc Ferrez,,Q155,-22.913763/-43.175839,Q3180571,Q11469,Q71989864,0071824cx021-07,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,66507
,,Escola Politécnica e estátua de José Bonifácio,Fotografia de Marc Ferrez,,Q155,-22.90463/-43.180561,Q3180571,Q11469,Q71989864,0071824cx021-08,Q172984,56.4 degree,24.0 centimetre,18.0 centimetre,66508
,,O Cais da Glória,Fotografia de Marc Ferrez,,Q155,-22.917775/-43.177087,Q3180571,Q11469,Q71989864,0071824cx021-09,Q172984,57.2 degree,24.0 centimetre,18.0 centimetre,66509
,,Convento de Santo Antônio,Fotografia de Marc Ferrez,,Q155,-22.907188/-43.178631,Q3180571,Q11469,Q71989864,0071824cx021-10,Q172984,62.0 degree,24.0 centimetre,18.0 centimetre,66510
,,Escola Politécnica e estátua de José Bonifácio,Fotografia de Marc Ferrez,,Q155,-22.904941/-43.180435,Q3180571,Q11469,Q71989864,0071824cx021-11,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,66511
,,Largo da Carioca,Fotografia de Marc Ferrez,,Q155,-22.906270000000006/-43.178819,Q3180571,Q11469,Q71989864,0071824cx021-13,Q172984,48.6 degree,24.0 centimetre,18.0 centimetre,75635
,,Campo da Aclamação - cascata artificial,Fotografia de Marc Ferrez,,Q155,-22.907162/-43.189161,Q3180571,Q11469,Q71989864,0071824cx022-05,COLÓDIO/ Prata,58.2 degree,24.0 centimetre,18.0 centimetre,75714
,,Campo da Aclamação,Fotografia de Marc Ferrez,,Q155,-22.905101/-43.18761,Q3180571,Q11469,Q71989864,0071824cx022-07,COLÓDIO/ Prata,71.8 degree,24.0 centimetre,18.0 centimetre,75716
,,E.F. Central do Brasil (Linha do Centro); Estação Central do Brasil; Km 0,Fotografia de Marc Ferrez,,Q155,-22.903914/-43.190141,Q3180571,Q11469,Q71989864,0071824cx022-13,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,75719
,,Liceu de Artes e Ofícios,Fotografia de Marc Ferrez,,Q155,-22.908181/-43.177881,Q3180571,Q11469,Q71989864,0071824cx022-14,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,75720
,,Liceu de Artes e Ofícios,Fotografia de Marc Ferrez,,Q155,-22.908209/-43.177821,Q3180571,Q11469,Q71989864,0071824cx022-15,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,75721
,,A Glória vista a partir do Morro do Castelo,Fotografia de Marc Ferrez,,Q155,-22.908924/-43.174555,Q3180571,Q11469,Q71989864,0071824cx023-01,Q172984,38.0 degree,24.0 centimetre,18.0 centimetre,75722
,,Panorama do Rio de Janeiro tomado do Morro do Castelo,Fotografia de Marc Ferrez,,Q155,-22.905194/-43.173251,Q3180571,Q11469,Q71989864,0071824cx023-02,Q172984,63.0 degree,24.0 centimetre,18.0 centimetre,75723
,,Pedra da Gávea,Fotografia de Marc Ferrez,,Q155,-22.968481/-43.262642,Q3180571,Q11469,Q71989864,0071824cx023-04,Q172984,38.6 degree,24.0 centimetre,18.0 centimetre,75725
,,Vista Chinesa,Fotografia de Marc Ferrez,,Q155,-22.968677/-43.254162,Q3180571,Q11469,Q71989864,0071824cx023-05,Q172984,57.4 degree,24.0 centimetre,18.0 centimetre,75726
,,Vista da Pedra da Gávea tomada do largo do Humaitá,Fotografia de Marc Ferrez,,Q155,-22.960225/-43.203341,Q3180571,Q11469,Q71989864,0071824cx023-06,Q172984,51.2 degree,24.0 centimetre,18.0 centimetre,75733
,,"Vista da Lagoa Rodrigo de Freitas, com a Companhia de Fiação e Tecelagem Corcovado ao fundo",Fotografia de Marc Ferrez,,Q155,-22.959784/-43.201397,Q3180571,Q11469,Q71989864,0071824cx023-07,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,75734
,,Floresta da Tijuca,Fotografia de Marc Ferrez,,Q155,-22.959954/-43.270324,Q3180571,Q11469,Q71989864,0071824cx023-08,COLÓDIO/ Prata,57.0 degree,24.0 centimetre,18.0 centimetre,75727
,,Panorama do Rio de Janeiro tomado do Morro do Castelo,Fotografia de Marc Ferrez,,Q155,-22.905194/-43.173251,Q3180571,Q11469,Q71989864,0071824cx024-01,Q172984,63.0 degree,24.0 centimetre,18.0 centimetre,75636
,,Fortaleza de Santa Cruz,Fotografia de Marc Ferrez,,Q155,-22.938271/-43.13025,Q3180571,Q11469,Q71989864,0071824cx024-02,Q172984,46.6 degree,24.0 centimetre,18.0 centimetre,75637
,,"Vista da Baía de Guanabara, com destaque para o Pão de Açúcar",Fotografia de Marc Ferrez,,Q155,-22.944978/-43.196451,Q3180571,Q11469,Q71989864,0071824cx024-03,Q172984,47.4 degree,24.0 centimetre,18.0 centimetre,75638
,,"Vista da Baía de Guanabara, com destaque para o Pão de Açúcar",Fotografia de Marc Ferrez,,Q155,-22.951697/-43.210244,Q3180571,Q11469,Q71989864,0071824cx024-04,Q172984,51.4 degree,24.0 centimetre,18.0 centimetre,75639
,,"Vista da Baía de Guanabara, com destaque para o Pão de Açúcar",Fotografia de Marc Ferrez,,Q155,-22.951697/-43.210244,Q3180571,Q11469,Q71989864,0071824cx024-05,Q172984,51.4 degree,24.0 centimetre,18.0 centimetre,75640
,,Cascata,Fotografia de Marc Ferrez,,Q155,-22.969425/-43.225106,Q3180571,Q11469,Q71989864,0071824cx024-07,Q172984,50.0 degree,18.0 centimetre,24.0 centimetre,75642
,,"Vista do morro Dois Irmãos e da Pedra Gávea, tomada das cercanias da Fonte da Saudade",Fotografia de Marc Ferrez,,Q155,-22.970135/-43.205613,Q3180571,Q11469,Q71989864,0071824cx028-01,Q172984,53.2 degree,24.0 centimetre,18.0 centimetre,75702
,,"Vista da Lagoa Rodrigo de Freitas, com a Companhia de Fiação e Tecelagem Corcovado ao fundo",Fotografia de Marc Ferrez,,Q155,-22.959784/-43.201397,Q3180571,Q11469,Q71989864,0071824cx028-02,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,75703
,,Vista do Pico do Perdido a partir do antigo Jardim Zoológico barão de Drummond,Fotografia de Marc Ferrez,,Q155,-22.91603/-43.261818,Q3180571,Q11469,Q71989864,0071824cx028-03,Q172984,44.8 degree,24.0 centimetre,18.0 centimetre,75704
,,"Pedra da Gávea, tomada da Floresta da Tijuca",Fotografia de Marc Ferrez,,Q155,-22.970777/-43.269598,Q3180571,Q11469,Q71989864,0071824cx028-05,Q172984,39.6 degree,24.0 centimetre,18.0 centimetre,75705
,,Vista do Pico da Tijuca,Fotografia de Marc Ferrez,,Q155,-22.915454/-43.233608,Q3180571,Q11469,Q71989864,0071824cx028-08,Q172984,58.2 degree,24.0 centimetre,18.0 centimetre,75706
,,"Vista do morro Dois Irmãos e da Pedra da Gávea, tomada da Lagoa Rodrigo de Freitas, na altura da Fonte da Saudade",Fotografia de Marc Ferrez,,Q155,-22.960673/-43.201995,Q3180571,Q11469,Q71989864,0071824cx028-09,Q172984,53.4 degree,24.0 centimetre,18.0 centimetre,75707
,,"Corcovado, tomado da Lagoa Rodrigo de Freitas",Fotografia de Marc Ferrez,,Q155,-22.961853/-43.202842,Q3180571,Q11469,Q71989864,0071824cx028-10,Q172984,42.8 degree,18.0 centimetre,24.0 centimetre,75708
,,"Corcovado, tomado da Lagoa Rodrigo de Freitas",Fotografia de Marc Ferrez,,Q155,-22.962179000000006/-43.202619,Q3180571,Q11469,Q71989864,0071824cx028-11,Q172984,34.4 degree,18.0 centimetre,24.0 centimetre,75709
,,Passeio Público,Fotografia de Marc Ferrez,,Q155,-22.913813/-43.175984,Q3180571,Q11469,Q71989864,0071824cx031-07,Q172984,45.2 degree,24.0 centimetre,18.0 centimetre,75729
,,"Monumento em homenagem a D. Pedro I, estátua equestre",Fotografia de Marc Ferrez,,Q155,-22.906866/-43.182593,Q3180571,Q11469,Q71989864,0071824cx031-08,Q172984,41.4 degree,18.0 centimetre,24.0 centimetre,75730
,,"Entrada da Baía de Guanabara, ao fundo o Pão de Açúcar",Fotografia de Marc Ferrez,,Q155,-22.942805/-43.11474000000001,Q3180571,Q11469,Q71989864,0071824cx036a-02,Q172984,44.6 degree,24.0 centimetre,18.0 centimetre,75651
,,"Vista do bairro do Flamengo, destaque para o morro do Pão de Açucar ao fundo",Fotografia de Marc Ferrez,,Q155,-22.929076/-43.182009,Q3180571,Q11469,Q71989864,0071824cx036a-03,COLÓDIO/ Prata,42.2 degree,24.0 centimetre,18.0 centimetre,75652
,,"Vista do bairro do Flamengo, detaque para o morro do Pão de Açucar ao fundo",Fotografia de Marc Ferrez,,Q155,-22.928832/-43.183658,Q3180571,Q11469,Q71989864,0071824cx036a-04,Q172984,44.0 degree,24.0 centimetre,18.0 centimetre,75653
,,"Entrada da Baía de Guanabara, ao fundo o Pão de Açúcar",Fotografia de Marc Ferrez,,Q155,-22.943522/-43.115448,Q3180571,Q11469,Q71989864,0071824cx036a-05,Q172984,44.0 degree,24.0 centimetre,18.0 centimetre,75654
,,"Cais Pharoux, Praça D. Pedro II, atual Praça XV de novembro; ao fundo, morro do Castelo e o Pão de Açúcar",Fotografia de Marc Ferrez,,Q155,-22.896694/-43.173797,Q3180571,Q11469,Q71989864,0071824cx036a-06,COLÓDIO/ Prata,44.2 degree,,,75655
,,"Entrada da Baía de Guanabara, ao fundo o Pão de Açúcar",Fotografia de Marc Ferrez,,Q155,-22.942697/-43.114114,Q3180571,Q11469,Q71989864,0071824cx036a-08,Q172984,56.8 degree,24.0 centimetre,18.0 centimetre,75656
,,Praça Afonso Viseu,Fotografia de Marc Ferrez,,Q155,-22.961073000000006/-43.27322,Q3180571,Q11469,Q71989864,0071824cx036b-01,Q172984,55.0 degree,24.0 centimetre,18.0 centimetre,75657
,,Cascatinha da Tijuca,Fotografia de Marc Ferrez,,Q155,-22.958994/-43.277496,Q3180571,Q11469,Q71989864,0071824cx036b-03,Q172984,50.0 degree,18.0 centimetre,24.0 centimetre,75659
,,Bico do Papagaio,Fotografia de Marc Ferrez,,Q155,-22.952169/-43.286097,Q3180571,Q11469,Q71989864,0071824cx036b-04,Q172984,42.0 degree,18.0 centimetre,24.0 centimetre,75660
,,Hotel Villa Moreau,Fotografia de Marc Ferrez,,Q155,-22.945184/-43.25249,Q3180571,Q11469,Q71989864,0071824cx036b-05,Q172984,40.0 degree,24.0 centimetre,18.0 centimetre,75661
,,Vista do Pão de Açúcar a partir do Pico da Tijuca,Fotografia de Marc Ferrez,,Q155,-22.944848/-43.212118,Q3180571,Q11469,Q71989864,0071824cx036b-06,Q172984,54.4 degree,24.0 centimetre,18.0 centimetre,75662
,,Panorama do centro do Rio de Janeiro a partir do Morro do Castelo,Fotografia de Marc Ferrez,,Q155,-22.906467000000006/-43.172205,Q3180571,Q11469,Q71989864,0071824cx037-01,Q172984,48.8 degree,24.0 centimetre,18.0 centimetre,75664
,,Panorama do centro do Rio de Janeiro a partir do Morro do Castelo,Fotografia de Marc Ferrez,,Q155,-22.905926/-43.173127,Q3180571,Q11469,Q71989864,0071824cx037-02,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,75665
,,Cascatinha,Fotografia de Marc Ferrez,,Q155,-22.96912/-43.22499000000001,Q3180571,Q11469,Q71989864,0071824cx037-04,Q172984,50.0 degree,18.0 centimetre,24.0 centimetre,75667
,,Morro do Corcovado a partir do Jardim Botânico,Fotografia de Marc Ferrez,,Q155,-22.962777/-43.202279,Q3180571,Q11469,Q71989864,0071824cx037-05,Q172984,60.6 degree,24.0 centimetre,18.0 centimetre,75668
,,Vista do bairro de Botafogo tomada do Mirante Dona Marta,Fotografia de Marc Ferrez,,Q155,-22.944854/-43.196644,Q3180571,Q11469,Q71989864,0071824cx037-09,Q172984,43.8 degree,24.0 centimetre,18.0 centimetre,75669
,,Vista do bairro de Laranjeiras a partir do Morro da Nova Cintra,Fotografia de Marc Ferrez,,Q155,-22.928691/-43.183939,Q3180571,Q11469,Q71989864,0071824cx037-10,Q172984,43.8 degree,24.0 centimetre,18.0 centimetre,75670
,,"Bairros da Lapa e de Santa Teresa, ao centro, os Arcos da Lapa",Fotografia de Marc Ferrez,,Q155,-22.90786/-43.175344,Q3180571,Q11469,Q71989864,0071824cx037-11,Q172984,30.0 degree,24.0 centimetre,18.0 centimetre,75671
,,Panorama do centro do Rio de Janeiro a partir do Morro do Castelo,Fotografia de Marc Ferrez,,Q155,-22.906899/-43.172314,Q3180571,Q11469,Q71989864,0071824cx037-12,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,75672
,,Panorama do centro do Rio de Janeiro a partir do Morro do Castelo,Fotografia de Marc Ferrez,,Q155,-22.90672/-43.174244,Q3180571,Q11469,Q71989864,0071824cx037-13,Q172984,49.2 degree,24.0 centimetre,18.0 centimetre,75673
,,"Jardim Botânico, à esquerda, o Morro do Corcovado",Fotografia de Marc Ferrez,,Q155,-22.968643/-43.22492,Q3180571,Q11469,Q71989864,0071824cx037-14,Q172984,41.0 degree,24.0 centimetre,18.0 centimetre,75674
,,"Caminho suspenso na Floresta da Tijuca, ao fundo, a Pedra da Gávea",Fotografia de Marc Ferrez,,Q155,-22.956029/-43.240631,Q3180571,Q11469,Q71989864,0071824cx037-15,Q172984,43.4 degree,24.0 centimetre,18.0 centimetre,75675
,,"Viaduto do Silvestre, Estrada de Ferro do Corcovado, Km 1 (aproximadamente)",Fotografia de Marc Ferrez,,Q155,-22.946326000000006/-43.20509000000001,Q3180571,Q11469,Q71989864,0071824cx038-09,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,75681
,,Morro do Corcovado a partir da Floresta da Tijuca,Fotografia de Marc Ferrez,,Q155,-22.936084/-43.191574,Q3180571,Q11469,Q71989864,0071824cx038-10,Q172984,32.2 degree,18.0 centimetre,24.0 centimetre,75682
,,"Estrada de Ferro do Corcovado, com o mirante Chapéu do Sol ao fundo",Fotografia de Marc Ferrez,,Q155,-22.945371/-43.215449,Q3180571,Q11469,Q71989864,0071824cx038-11,Q172984,50.0 degree,18.0 centimetre,24.0 centimetre,75683
,,Pão de Açúcar visto do mirante Dona Marta,Fotografia de Marc Ferrez,,Q155,-22.945005/-43.196483,Q3180571,Q11469,Q71989864,0071824cx038-12,Q172984,44.2 degree,24.0 centimetre,18.0 centimetre,75684
,,"Ponte das Caboclas, Estrada de Ferro do Corcovado, km 2 (aproximadamente)",Fotografia de Marc Ferrez,,Q155,-22.947109/-43.21259000000001,Q3180571,Q11469,Q71989864,0071824cx038-13,Q172984,50.0 degree,18.0 centimetre,24.0 centimetre,75685
,,"Ponte das Caboclas, Estrada de Ferro do Corcovado, km 2 (aproximadamente)",Fotografia de Marc Ferrez,,Q155,-22.947111/-43.212586,Q3180571,Q11469,Q71989864,0071824cx038-14,Q172984,50.0 degree,18.0 centimetre,24.0 centimetre,75686
,,Rebocador Audaz,Fotografia de Marc Ferrez,,Q155,-22.900313/-43.174304,Q3180571,Q11469,Q71989864,0071824cx039-04,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,75688
,,Vegetação,Fotografia de Marc Ferrez,,Q155,-22.968032/-43.22563,Q3180571,Q11469,Q71989864,0071824cx040-01,Q172984,50.0 degree,18.0 centimetre,24.0 centimetre,75689
,,Homem montado a cavalo com trajes típicos da região sul da país,Fotografia de Marc Ferrez,,Q155,-22.912411/-43.229803,Q3180571,Q11469,Q71989864,0071824cx040-03,Q172984,40.0 degree,24.0 centimetre,18.0 centimetre,69545
,,"Vista do Cais Pharoux, praça XV de Novembro e arredores do centro do Rio de Janeiro",Fotografia de Marc Ferrez,,Q155,-22.89624/-43.173885,Q3180571,Q11469,Q71989864,0071824cx040-05,Q172984,53.0 degree,,,75693
,,Bairro do Flamengo visto do Morro Nova Cintra,Fotografia de Marc Ferrez,,Q155,-22.928839/-43.183633,Q3180571,Q11469,Q71989864,0071824cx040-07,Q172984,54.6 degree,24.0 centimetre,18.0 centimetre,75695
,,Panorama do Rio de Janeiro visto a partir da Ilha das Cobras,Fotografia de Marc Ferrez,,Q155,-22.896368/-43.173925,Q3180571,Q11469,Q71989864,0071824cx040-08,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,75696
,,Panorama do Rio de Janeiro visto a partir da Ilha das Cobras,Fotografia de Marc Ferrez,,Q155,-22.896368/-43.173904,Q3180571,Q11469,Q71989864,0071824cx040-09,Q172984,53.8 degree,24.0 centimetre,18.0 centimetre,69546
,,Panorama do Rio de Janeiro visto a partir da Ilha das Cobras,Fotografia de Marc Ferrez,,Q155,-22.896368/-43.173925,Q3180571,Q11469,Q71989864,0071824cx040-10,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,69547
,,Vista de Santa Teresa e dos Arcos da Lapa,Fotografia de Marc Ferrez,,Q155,-22.90786/-43.175344,Q3180571,Q11469,Q71989864,0071824cx040-11,Q172984,30.0 degree,24.0 centimetre,18.0 centimetre,75699
,,Pedra de Itapuca,Fotografia de Marc Ferrez,,Q155,-22.905374/-43.119416,Q3180571,Q11469,Q71989864,0071824cx040-12,Q172984,42.2 degree,24.0 centimetre,18.0 centimetre,75700
,,Pedra de Itapuca,Fotografia de Marc Ferrez,,Q155,-22.905374/-43.119416,Q3180571,Q11469,Q71989864,0071824cx040-13,Q172984,42.2 degree,24.0 centimetre,18.0 centimetre,75701
,,Panorama do Rio de Janeiro tomado do Morro do Castelo,Fotografia de Marc Ferrez,,Q155,-22.905194/-43.173251,Q3180571,Q11469,Q71989864,0071824cx041-01,Q172984,63.0 degree,24.0 centimetre,18.0 centimetre,76146
